"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2022","12,068.43","12,127.11","12,174.81","12,031.45","109.81M","-0.59%"
"01/23/2022","12,139.83","12,276.16","12,276.18","12,113.09","130.94M","-1.23%"
"01/20/2022","12,290.96","12,274.27","12,291.05","12,218.30","150.86M","0.25%"
"01/19/2022","12,260.13","12,186.30","12,260.13","12,135.34","170.34M","0.54%"
"01/18/2022","12,193.75","12,174.52","12,260.34","12,166.10","209.76M","0.23%"
"01/17/2022","12,165.84","12,137.57","12,165.84","12,048.81","192.86M","0.46%"
"01/16/2022","12,110.15","12,107.24","12,209.54","12,045.49","229.04M","0.26%"
"01/13/2022","12,079.01","11,965.23","12,079.01","11,946.97","197.93M","1.02%"
"01/12/2022","11,957.08","11,845.46","11,957.08","11,819.39","193.83M","0.96%"
"01/11/2022","11,843.55","11,675.81","11,843.55","11,641.70","185.96M","1.53%"
"01/10/2022","11,664.83","11,577.00","11,664.83","11,576.23","204.54M","0.90%"
"01/09/2022","11,560.47","11,452.98","11,560.47","11,451.54","172.46M","1.14%"
"01/06/2022","11,430.51","11,427.73","11,468.52","11,371.71","142.59M","-0.20%"
"01/05/2022","11,453.08","11,358.58","11,453.08","11,358.58","139.97M","0.85%"
"01/04/2022","11,356.80","11,351.62","11,380.51","11,317.46","134.43M","0.26%"
"01/03/2022","11,327.52","11,320.25","11,407.66","11,264.42","188.43M","-0.04%"
"01/02/2022","11,331.91","11,280.35","11,345.86","11,257.02","129.75M","0.44%"
"12/30/2021","11,281.71","11,199.56","11,281.71","11,167.14","132.21M","0.73%"
"12/29/2021","11,199.84","11,312.10","11,343.72","11,144.98","224.48M","-1.02%"
"12/28/2021","11,315.32","11,193.93","11,315.32","11,193.48","144.98M","1.38%"
"12/27/2021","11,161.04","11,156.28","11,175.85","11,086.96","138.68M","-0.07%"
"12/26/2021","11,168.30","11,272.55","11,298.18","11,158.05","113.81M","-0.92%"
"12/23/2021","11,271.46","11,215.58","11,286.67","11,198.62","128.64M","0.60%"
"12/22/2021","11,204.43","11,287.75","11,336.45","11,181.22","165.94M","-0.50%"
"12/21/2021","11,261.28","11,175.15","11,261.28","11,170.57","142.76M","0.81%"
"12/20/2021","11,170.48","11,121.06","11,171.23","11,036.30","188.17M","0.09%"
"12/19/2021","11,160.24","11,241.41","11,267.37","11,150.93","176.44M","-1.34%"
"12/16/2021","11,311.89","11,200.75","11,365.33","11,199.77","255.18M","1.51%"
"12/15/2021","11,143.38","11,027.02","11,149.93","11,012.06","187.55M","1.08%"
"12/14/2021","11,024.68","11,035.48","11,058.95","10,975.46","182.35M","0.04%"
"12/13/2021","11,019.86","11,030.37","11,096.91","11,019.86","232.27M","0.46%"
"12/12/2021","10,969.06","10,916.08","10,974.35","10,880.00","305.58M","0.28%"
"12/09/2021","10,938.88","11,007.53","11,049.19","10,892.58","174.79M","-0.48%"
"12/08/2021","10,991.80","11,130.97","11,132.34","10,991.80","218.19M","-1.05%"
"12/07/2021","11,108.20","11,125.08","11,149.13","11,081.64","208.86M","0.79%"
"12/06/2021","11,021.07","11,196.72","11,278.37","11,021.07","236.30M","-1.09%"
"12/05/2021","11,142.47","10,926.06","11,142.47","10,925.08","189.52M","2.39%"
"12/02/2021","10,882.79","10,838.11","10,914.82","10,796.27","139.64M","0.30%"
"12/01/2021","10,849.96","10,809.19","10,866.98","10,753.02","184.74M","0.82%"
"11/30/2021","10,761.80","10,789.10","10,789.82","10,599.73","289.15M","-0.45%"
"11/29/2021","10,810.60","10,870.62","10,986.56","10,779.79","189.95M","0.21%"
"11/28/2021","10,787.79","10,668.40","10,952.01","10,668.40","223.13M","-4.53%"
"11/25/2021","11,299.45","11,368.18","11,472.35","11,299.45","140.07M","-0.62%"
"11/24/2021","11,369.38","11,328.02","11,425.49","11,281.56","150.24M","1.00%"
"11/23/2021","11,256.52","11,127.25","11,302.18","11,036.61","184.89M","0.76%"
"11/22/2021","11,171.76","11,457.98","11,514.12","11,149.32","206.07M","-2.74%"
"11/21/2021","11,485.94","11,640.63","11,641.56","11,417.58","161.49M","-1.92%"
"11/18/2021","11,710.45","11,814.19","11,839.30","11,700.78","144.06M","-1.04%"
"11/17/2021","11,833.54","11,805.93","11,850.57","11,778.88","143.33M","0.05%"
"11/16/2021","11,827.48","11,839.63","11,859.67","11,752.43","159.59M","-0.08%"
"11/15/2021","11,836.58","11,903.08","11,920.15","11,836.58","170.20M","-0.64%"
"11/14/2021","11,913.05","11,928.49","11,936.00","11,883.74","115.99M","0.12%"
"11/11/2021","11,898.94","11,855.57","11,914.13","11,841.94","131.89M","0.35%"
"11/10/2021","11,857.51","11,751.22","11,863.19","11,741.23","151.15M","0.89%"
"11/09/2021","11,753.18","11,856.67","11,872.28","11,753.18","181.47M","-0.79%"
"11/08/2021","11,846.53","11,849.82","11,912.44","11,794.09","191.61M","0.04%"
"11/07/2021","11,841.60","11,785.15","11,843.27","11,755.86","140.86M","0.76%"
"11/04/2021","11,752.23","11,674.99","11,752.23","11,636.34","130.22M","0.57%"
"11/03/2021","11,685.66","11,750.75","11,758.64","11,627.38","156.97M","-0.57%"
"11/02/2021","11,752.12","11,726.19","11,789.21","11,724.45","130.70M","0.25%"
"11/01/2021","11,722.95","11,708.62","11,759.74","11,695.97","129.59M","0.16%"
"10/31/2021","11,704.14","11,757.16","11,807.27","11,699.36","153.68M","-0.47%"
"10/28/2021","11,758.82","11,745.50","11,783.00","11,671.08","185.91M","-0.41%"
"10/27/2021","11,807.79","11,851.68","11,886.26","11,779.29","174.45M","-0.33%"
"10/26/2021","11,846.69","11,890.40","11,922.07","11,846.69","156.85M","-0.36%"
"10/25/2021","11,889.84","11,845.93","11,898.66","11,783.48","178.92M","0.35%"
"10/24/2021","11,848.05","11,950.65","11,954.88","11,832.90","221.43M","-0.77%"
"10/21/2021","11,939.58","11,919.29","11,939.58","11,877.53","202.42M","0.30%"
"10/20/2021","11,903.74","11,822.56","11,903.74","11,810.26","189.75M","0.94%"
"10/19/2021","11,792.54","11,781.66","11,836.30","11,744.66","198.61M","0.29%"
"10/18/2021","11,758.02","11,759.13","11,774.78","11,707.94","193.49M","-0.13%"
"10/17/2021","11,773.36","11,748.27","11,782.79","11,741.11","218.21M","0.63%"
"10/14/2021","11,699.11","11,641.39","11,699.11","11,636.99","194.66M","0.64%"
"10/13/2021","11,624.98","11,539.14","11,624.98","11,531.96","172.52M","0.71%"
"10/12/2021","11,542.88","11,559.14","11,568.89","11,485.92","213.59M","0.27%"
"10/11/2021","11,512.11","11,571.51","11,590.24","11,330.63","261.10M","-0.47%"
"10/10/2021","11,566.02","11,602.39","11,675.48","11,502.08","205.60M","-0.22%"
"10/07/2021","11,591.33","11,585.34","11,629.35","11,544.45","167.67M","0.17%"
"10/06/2021","11,571.88","11,577.36","11,654.98","11,538.45","219.52M","0.14%"
"10/05/2021","11,555.53","11,471.08","11,573.13","11,470.70","198.93M","0.77%"
"10/04/2021","11,466.91","11,448.40","11,514.99","11,421.53","198.02M","0.12%"
"10/03/2021","11,453.25","11,494.11","11,497.74","11,428.09","182.58M","-0.37%"
"09/30/2021","11,495.76","11,388.12","11,495.76","11,379.61","181.90M","0.98%"
"09/29/2021","11,383.65","11,363.01","11,390.53","11,331.35","181.26M","0.01%"
"09/28/2021","11,382.41","11,383.72","11,444.20","11,355.83","263.19M","0.12%"
"09/27/2021","11,369.09","11,366.55","11,391.32","11,333.48","238.15M","0.14%"
"09/26/2021","11,352.86","11,342.94","11,370.83","11,323.12","169.40M","0.73%"
"09/22/2021","11,270.57","11,311.15","11,345.43","11,270.57","140.81M","-0.40%"
"09/21/2021","11,315.81","11,284.49","11,354.53","11,239.29","176.89M","-0.11%"
"09/20/2021","11,328.33","11,370.58","11,372.66","11,293.66","183.13M","-0.61%"
"09/19/2021","11,397.84","11,424.20","11,434.98","11,371.22","184.05M","-0.21%"
"09/16/2021","11,422.11","11,409.92","11,435.57","11,378.08","223.09M","0.10%"
"09/15/2021","11,410.98","11,382.46","11,414.58","11,358.61","176.40M","0.33%"
"09/14/2021","11,373.18","11,394.42","11,418.70","11,357.22","180.28M","-0.12%"
"09/13/2021","11,386.38","11,343.27","11,386.38","11,294.72","182.78M","0.38%"
"09/12/2021","11,342.85","11,424.40","11,428.09","11,325.60","159.47M","-0.66%"
"09/09/2021","11,417.79","11,446.05","11,450.78","11,397.65","181.57M","-0.33%"
"09/08/2021","11,455.65","11,425.54","11,455.65","11,408.30","174.31M","0.36%"
"09/07/2021","11,414.34","11,416.58","11,458.68","11,402.92","192.92M","0.06%"
"09/06/2021","11,407.91","11,336.74","11,407.91","11,332.93","195.90M","0.64%"
"09/05/2021","11,335.92","11,324.38","11,346.87","11,315.71","192.65M","0.14%"
"09/02/2021","11,319.87","11,300.76","11,324.09","11,285.01","175.08M","0.08%"
"09/01/2021","11,310.54","11,315.66","11,327.88","11,292.74","166.58M","-0.08%"
"08/31/2021","11,319.24","11,253.82","11,319.24","11,251.63","224.83M","0.57%"
"08/30/2021","11,255.05","11,195.48","11,255.05","11,169.83","153.93M","0.67%"
"08/29/2021","11,180.19","11,141.95","11,180.19","11,138.77","138.49M","0.46%"
"08/26/2021","11,128.59","11,169.27","11,169.54","11,104.03","118.04M","-0.25%"
"08/25/2021","11,156.63","11,153.24","11,183.11","11,103.23","139.78M","0.14%"
"08/24/2021","11,141.03","11,092.11","11,141.03","11,057.57","133.77M","0.71%"
"08/23/2021","11,062.99","11,090.76","11,179.24","11,032.67","160.58M","-0.12%"
"08/22/2021","11,076.55","11,191.11","11,213.56","11,049.05","150.36M","-1.12%"
"08/19/2021","11,201.64","11,305.12","11,305.22","11,164.89","196.94M","-1.26%"
"08/18/2021","11,344.94","11,391.31","11,402.65","11,308.31","143.80M","-0.42%"
